山西龙江保险公估有限公司	保险公估机构	2019-7-26	请选择	
中国人民财产保险股份有限公司晋中市分公司榆次安宁营销服务部	保险公司－财产险	2005-7-20	营业	
中国人民财产保险股份有限公司晋中市分公司城区营销服务部	保险公司－财产险	2007-9-29	营业	
中国人民财产保险股份有限公司晋中市分公司北城营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司晋中市分公司榆次工业园区营销服务部	保险公司－财产险	2004-8-25	营业	
中国人民财产保险股份有限公司晋中市分公司营业二部	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司榆社支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司榆社支公司箕城营销服务部	保险公司－财产险	2004-12-1	营业	
中国人民财产保险股份有限公司左权支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司左权支公司堡则营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司左权支公司城关营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司左权支公司麻田营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司和顺支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司和顺支公司城镇营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司昔阳支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司昔阳支公司乐平镇营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司昔阳支公司李家庄乡营销服务部	保险公司－财产险	2002-12-3	撤销	
中国人民财产保险股份有限公司寿阳支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司寿阳支公司城区营销服务部	保险公司－财产险	2004-8-25	营业	
中国人民财产保险股份有限公司寿阳支公司解愁营销服务部	保险公司－财产险	2016-11-4	营业	
中国人民财产保险股份有限公司太谷支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司晋中市分公司太谷营销服务部	保险公司－财产险	2004-8-25	营业	
中国人民财产保险股份有限公司祁县支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司晋中市分公司祁县东观营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司祁县支公司经济开发区营销服务部	保险公司－财产险	2016-11-4	营业	
中国人民财产保险股份有限公司平遥支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司平遥支公司古陶镇营销服务部	保险公司－财产险	2004-8-4	营业	
中国人民财产保险股份有限公司晋中市分公司平遥营销服务部	保险公司－财产险	2005-9-13	营业	
中国人民财产保险股份有限公司灵石支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司晋中市分公司灵石营销服务部	保险公司－财产险	2004-8-25	营业	
中国人民财产保险股份有限公司介休支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司晋中市分公司介休营销服务部	保险公司－财产险	2004-4-5	营业	
中国人民财产保险股份有限公司运城市分公司	保险公司－财产险	2008-9-29	营业	
中国人民财产保险股份有限公司运城市分公司营业部	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司运城市分公司河东营销服务部	保险公司－财产险	2005-8-17	改建	
中国人民财产保险股份有限公司运城市分公司盐湖营销服务部	保险公司－财产险	2006-6-1	营业	
中国人民财产保险股份有限公司运城市分公司北郊营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司运城市分公司城区营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司运城市河东支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司临猗支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司万荣支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司闻喜支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司运城市分公司闻喜海鑫营销服务部	保险公司－财产险	2006-6-1	营业	
中国人民财产保险股份有限公司稷山支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司新绛支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司绛县支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司垣曲支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司运城市分公司东峰山营销服务部	保险公司－财产险	2004-8-25	营业	
中国人民财产保险股份有限公司夏县支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司平陆支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司芮城支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司运城市分公司风陵渡营销服务部	保险公司－财产险	2006-7-31	营业	
中国人民财产保险股份有限公司永济支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司永济支公司于乡营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司永济支公司栲栳营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司河津支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司河津支公司城区营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司运城市分公司河津营销服务部	保险公司－财产险	2005-8-17	营业	
中国人民财产保险股份有限公司忻州市分公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司忻州市忻府支公司	保险公司－财产险	2011-11-4	营业	
中国人民财产保险股份有限公司忻州市分公司城北营销服务部	保险公司－财产险	2002-2-12	营业	
中国人民财产保险股份有限公司忻州市分公司城东营销服务部	保险公司－财产险	2002-12-3	改建	
中国人民财产保险股份有限公司忻州市分公司经济技术开发区营销服务部	保险公司－财产险	2004-6-16	营业	
中国人民财产保险股份有限公司忻州市分公司新建路营销服务部	保险公司－财产险	2006-10-30	改建	
中国人民财产保险股份有限公司忻州市忻府支公司部落营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司忻州市忻府支公司豆罗营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司忻州市忻府支公司二十里铺营销服务部	保险公司－财产险	2008-10-15	营业	
中国人民财产保险股份有限公司忻州市分公司营业部	保险公司－财产险	1999-6-11	改建	
中国人民财产保险股份有限公司忻州市经济技术开发区支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司忻州市九原支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司定襄支公司	保险公司－财产险	2008-9-8	营业	
中国人民财产保险股份有限公司五台支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司代县支公司	保险公司－财产险	1996-4-6	营业	
中国人民财产保险股份有限公司代县支公司新高营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司代县支公司峨口营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司繁峙支公司	保险公司－财产险	1986-4-17	营业	
中国人民财产保险股份有限公司繁峙支公司砂河营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司宁武支公司	保险公司－财产险	1997-6-27	营业	
中国人民财产保险股份有限公司静乐支公司	保险公司－财产险	1997-4-27	营业	
中国人民财产保险股份有限公司静乐支公司衡达涌金营销服务部	保险公司－财产险	2016-11-4	营业	
中国人民财产保险股份有限公司神池支公司	保险公司－财产险	1997-4-11	营业	
中国人民财产保险股份有限公司五寨支公司	保险公司－财产险	1997-11-7	营业	
中国人民财产保险股份有限公司五寨支公司三岔营销服务部	保险公司－财产险	2016-11-4	营业	
中国人民财产保险股份有限公司岢岚支公司	保险公司－财产险	1997-3-25	营业	
中国人民财产保险股份有限公司河曲支公司	保险公司－财产险	2003-9-9	营业	
中国人民财产保险股份有限公司保德支公司	保险公司－财产险	1997-4-27	营业	
中国人民财产保险股份有限公司偏关支公司	保险公司－财产险	1987-1-10	营业	
中国人民财产保险股份有限公司偏关支公司城区营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司原平支公司	保险公司－财产险	1997-5-27	营业	
中国人民财产保险股份有限公司忻州市分公司轩岗营销服务部	保险公司－财产险	2007-3-16	改建	
中国人民财产保险股份有限公司原平前进支公司铝厂营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司原平支公司西镇营销服务部	保险公司－财产险	2016-11-4	营业	
中国人民财产保险股份有限公司原平前进支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司临汾市分公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司临汾市分公司平阳营销服务部	保险公司－财产险	2004-4-1	改建	
中国人民财产保险股份有限公司临汾市城区支公司	保险公司－财产险	1998-5-14	营业	
中国人民财产保险股份有限公司临汾市分公司北城营销服务部	保险公司－财产险	2005-11-8	改建	
中国人民财产保险股份有限公司临汾市分公司直属营销服务部	保险公司－财产险	2006-4-5	改建	
中国人民财产保险股份有限公司临汾市分公司南城营销服务部	保险公司－财产险	2004-1-1	营业	
中国人民财产保险股份有限公司临汾市分公司西城营销服务部	保险公司－财产险	2002-12-3	改建	
中国人民财产保险股份有限公司临汾市分公司尧都营销服务部	保险公司－财产险	2002-12-3	改建	
中国人民财产保险股份有限公司临汾市开发区支公司陆翔营销服务部	保险公司－财产险	2004-4-1	营业	
中国人民财产保险股份有限公司临汾市分公司营业部	保险公司－财产险	1996-12-6	改建	
中国人民财产保险股份有限公司临汾市开发区支公司	保险公司－财产险	2011-11-4	营业	
中国人民财产保险股份有限公司临汾市平阳支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司临汾市西城支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司临汾市直属支公司	保险公司－财产险	2012-7-11	营业	
中国人民财产保险股份有限公司临汾市尧都支公司	保险公司－财产险	2012-12-10	营业	
中国人民财产保险股份有限公司临汾市北城支公司	保险公司－财产险	2012-12-10	营业	
中国人民财产保险股份有限公司曲沃支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司翼城支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司襄汾支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司襄汾支公司新城营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司襄汾支公司汾城营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司洪洞支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司洪洞支公司广胜寺营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司洪洞支公司赵城营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司临汾市分公司洪洞大槐树营销服务部	保险公司－财产险	2008-10-15	营业	
中国人民财产保险股份有限公司古县支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司安泽支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司安泽支公司唐城镇营销服务部	保险公司－财产险	2002-12-3	营业	
中国人民财产保险股份有限公司浮山支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司吉县支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司乡宁支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司大宁支公司	保险公司－财产险	1996-12-6	营业	
中国人民财产保险股份有限公司隰县支公司	保险公司－财产险	1996-12-6	营业	
中国邮政储蓄银行股份有限公司大同西环路支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司大同柳泉南街支行	保险兼业代理	未知	 	
上海浦东发展银行股份有限公司朔州分行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司静乐县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司岢岚县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司神池县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司五寨县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司五台县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司运城市豪德广场支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司沁水县支行	保险兼业代理	未知	 	
中国邮政储蓄银行股份有限公司晋城矿区支行	保险兼业代理	未知	 	
沁源县农村信用合作联社城关信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社法中信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社中峪信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社柏子信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社李元信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社交口信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社韩洪信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社赤石桥信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社聪子峪信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社王陶信用社	保险兼业代理	未知	 	
沁源县农村信用合作联社王和信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社墨灯信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社洪水信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社广志信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社韩北信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社蟠龙信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社大有信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社贾豁信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社监漳信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社上司信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社故县信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社城关信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社石北信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社涌泉信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社故城信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社石盘信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社分南信用社	保险兼业代理	未知	 	
武乡县农村信用合作联社新世信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社城关信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社北坊分社	保险兼业代理	未知	 	
黎城县农村信用合作联社第一储蓄所	保险兼业代理	未知	 	
黎城县农村信用合作联社第二储蓄所	保险兼业代理	未知	 	
黎城县农村信用合作联社西关储蓄所	保险兼业代理	未知	 	
黎城县农村信用合作联社西仵信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社程家山信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社路堡分社	保险兼业代理	未知	 	
黎城县农村信用合作联社停河铺信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社李庄信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社洪井信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社柏官庄分社	保险兼业代理	未知	 	
黎城县农村信用合作联社上遥信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社平头分社	保险兼业代理	未知	 	
黎城县农村信用合作联社东阳关信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社南委泉信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社源庄信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社西井信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社东崖底信用社	保险兼业代理	未知	 	
黎城县农村信用合作联社看后分社	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司北村支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司城关支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司城区支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司凤凰花园分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司福康里分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司古店支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司和平支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司恒安分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司汇泉分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司姜家湾分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司教场街分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司金汇分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司开发区支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司矿区支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司马军营分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司平旺支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司平旺分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司七里村分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司水泊寺支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司西万庄支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司小南头分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司新开南路分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司鸦儿崖支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司雁塔分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司迎春里分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司拥军分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司永安里分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司永泰支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司云冈支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司云中区支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司赵家小村支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司西韩岭支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司口泉支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司先峰分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司北府分理处	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司高山支行	保险兼业代理	未知	 	
大同北都农村商业银行股份有限公司	保险兼业代理	未知	 	
介休市农村信用合作联社城关信用社	保险兼业代理	未知	 	
介休市农村信用合作联社连福信用社	保险兼业代理	未知	 	
介休市农村信用合作联社东湖龙信用社	保险兼业代理	未知	 	
介休市农村信用合作联社洪山信用社	保险兼业代理	未知	 	
介休市农村信用合作联社三佳信用社	保险兼业代理	未知	 	
介休市农村信用合作联社万户堡信用社	保险兼业代理	未知	 	
介休市农村信用合作联社北辛武信用社	保险兼业代理	未知	 	
翼城县农村信用合作联社南唐信用社	保险兼业代理	未知	 	
翼城县农村信用合作联社辛安信用社	保险兼业代理	未知	 	
翼城县农村信用合作联社西闫信用社	保险兼业代理	未知	 	
翼城县农村信用合作联社八一路储蓄所	保险兼业代理	未知	 	
翼城县农村信用合作联社解放街分社	保险兼业代理	未知	 	
翼城县农村信用合作联社龙康分社	保险兼业代理	未知	 	
翼城县农村信用合作联社翔翼西街储蓄所	保险兼业代理	未知	 	
翼城县农村信用合作联社宏阳分社	保险兼业代理	未知	 	
翼城县农村信用合作联社老官庄分社	保险兼业代理	未知	 	
翼城县农村信用合作联社翼浮路分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社安太堡信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社下水头分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社榆岭信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社高石庄信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社凤凰城信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社西水界分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社易苑分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社井坪信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社下面高信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社紫河路分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社上窑分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社北坪分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社平安街信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社陶村信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社双碾分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社西易分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社新建路分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社南坪分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社阻虎信用社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社向阳堡分社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社白堂信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社晋昌信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社杨芳信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社官庄信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社南王信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社蒋村信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社神山信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社河边信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社南庄信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社宏道信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社季庄信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社受录信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社白村信用社	保险兼业代理	未知	 	
定襄县农村信用合作联社城南分社	保险兼业代理	未知	 	
定襄县农村信用合作联社解放路分社	保险兼业代理	未知	 	
神池县农村信用合作联社七道街分社	保险兼业代理	未知	 	
神池县农村信用合作联社龙泉信用社	保险兼业代理	未知	 	
神池县农村信用合作联社崞水路分社	保险兼业代理	未知	 	
神池县农村信用合作联社开发路分社	保险兼业代理	未知	 	
神池县农村信用合作联社文化街信用社	保险兼业代理	未知	 	
神池县农村信用合作联社新建路分社	保险兼业代理	未知	 	
神池县农村信用合作联社利民信用社	保险兼业代理	未知	 	
神池县农村信用合作联社东湖信用社	保险兼业代理	未知	 	
神池县农村信用合作联社义井信用社	保险兼业代理	未知	 	
神池县农村信用合作联社虎北信用社	保险兼业代理	未知	 	
神池县农村信用合作联社贺职信用社	保险兼业代理	未知	 	
神池县农村信用合作联社八角信用社	保险兼业代理	未知	 	
神池县农村信用合作联社长畛信用社	保险兼业代理	未知	 	
神池县农村信用合作联社烈堡信用社	保险兼业代理	未知	 	
神池县农村信用合作联社大严备信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社城关信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社管村信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社杨赵信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社西社信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社路村信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社化峪信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社下迪信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社蔡村信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社翟店信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社太阳信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社修善信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社清河信用社	保险兼业代理	未知	 	
稷山县农村信用社合作联社兴稷信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社城关信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社泽掌信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社三泉信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社泉掌信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社阳王信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社万安信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社柳泉信用社	保险兼业代理	未知	 	
新绛县农村信用合作联社西大街分社	保险兼业代理	未知	 	
新绛县农村信用合作联社北街分社	保险兼业代理	未知	 	
新绛县农村信用合作联社桥西分社	保险兼业代理	未知	 	
永济市农村信用合作联社城关信用社	保险兼业代理	未知	 	
永济市农村信用合作联社城西信用社	保险兼业代理	未知	 	
永济市农村信用合作联社城北信用社	保险兼业代理	未知	 	
永济市农村信用合作联社赵柏信用社	保险兼业代理	未知	 	
永济市农村信用合作联社任阳信用社	保险兼业代理	未知	 	
永济市农村信用合作联社郭李信用社	保险兼业代理	未知	 	
永济市农村信用合作联社于乡信用社	保险兼业代理	未知	 	
永济市农村信用合作联社清华信用社	保险兼业代理	未知	 	
永济市农村信用合作联社董村信用社	保险兼业代理	未知	 	
永济市农村信用合作联社卿头信用社	保险兼业代理	未知	 	
永济市农村信用合作联社黄营信用社	保险兼业代理	未知	 	
永济市农村信用合作联社开张信用社	保险兼业代理	未知	 	
永济市农村信用合作联社栲栳信用社	保险兼业代理	未知	 	
永济市农村信用合作联社常青信用社	保险兼业代理	未知	 	
永济市农村信用合作联社张营信用社	保险兼业代理	未知	 	
永济市农村信用合作联社文学信用社	保险兼业代理	未知	 	
永济市农村信用合作联社蒲州信用社	保险兼业代理	未知	 	
永济市农村信用合作联社韩阳信用社	保险兼业代理	未知	 	
永济市农村信用合作联社首阳信用社	保险兼业代理	未知	 	
永济市农村信用合作联社舜都大道分社	保险兼业代理	未知	 	
永济市农村信用合作联社府西街分社	保险兼业代理	未知	 	
永济市农村信用合作联社电机分社	保险兼业代理	未知	 	
永济市农村信用合作联社铝电社区分社	保险兼业代理	未知	 	
临猗县农村信用合作联社城关信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社城关东街分社	保险兼业代理	未知	 	
临猗县农村信用合作联社城关西关分社	保险兼业代理	未知	 	
临猗县农村信用合作联社牛杜信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社李汉信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社楚侯信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社嵋阳信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社庙上信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社临晋西街分社	保险兼业代理	未知	 	
临猗县农村信用合作联社临晋南街分社	保险兼业代理	未知	 	
临猗县农村信用合作联社临晋天源分社	保险兼业代理	未知	 	
临猗县农村信用合作联社东张信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社角杯信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社南赵信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社卓里信用社	保险兼业代理	未知	 	
临猗县农村信用合作联社西城信用社	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司南城支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司北城支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司东城支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司西城支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司清涧支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司铝厂支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司小梁支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司柴家支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司赵家庄支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司僧楼支行	保险兼业代理	未知	 	
山西河津农村商业银行股份有限公司樊村支行	保险兼业代理	未知	 	
山西榆次农村商业银行股份有限公司	保险兼业代理	未知	 	
山西榆次农村商业银行股份有限公司道北街支行	保险兼业代理	未知	 	
山西榆次农村商业银行股份有限公司经纬路支行	保险兼业代理	未知	 	
